42,58,83,26,13,2,26,2,71,42,5,42,26,2,26,71,42,83,83,26,2,42,58,13,26,71,42,26,5,42,58,42,26,5,58,42,5,26,83,71,2,58,99,5,26,58,5,26,58,42,90,26,71,90,58,83,42,83,58,26,26,96,26,42,71,42,42,71,58,26,5,42,26,42,99,42,83,90,26,83,42,26,13,26,71,90,26,90,71,13,42,42,5,71,42,26,83,13,26,2, 
56,42,91,85,91,42,85,56,95,42,56,3,42,12,19,31,31,3,69,91,19,42,56,78,31,56,12,31,6,91,19,69,99,42,85,42,19,42,6,6,12,42,19,42,78,31,56,31,56,12,1,19,12,31,42,42,56,85,56,31,42,69,56,91,31,69,56,91,91,95,19,69,56,19,12,42,42,56,19,78,42,69,97,12,69,31,69,97,56,31,56,12,95,69,6,78,31,12,1,56, 
55,65,65,34,80,73,44,7,99,80,24,73,55,73,65,80,95,24,17,44,73,34,44,87,24,65,34,7,65,92,73,100,73,92,55,34,12,55,65,65,34,17,73,65,65,55,92,12,17,55,55,24,34,80,12,44,44,2,4,34,44,1,65,17,65,73,65,24,34,95,7,44,55,55,44,44,17,7,99,55,80,24,34,65,34,87,73,24,87,34,95,73,44,80,65,12,12,17,34,92, 
75,82,8,99,75,8,8,82,91,100,18,97,75,26,33,26,52,91,33,75,100,26,61,3,33,91,43,33,82,26,95,43,99,88,91,88,82,68,68,88,33,82,82,68,82,52,52,43,8,43,26,5,13,95,82,26,13,26,13,43,18,33,88,97,52,43,75,26,8,61,68,75,33,68,95,52,75,52,13,26,82,61,33,43,61,82,43,18,8,1,43,3,13,8,99,98,52,61,52,26, 
78,49,88,26,26,98,88,100,78,98,92,65,40,40,57,57,49,33,26,26,14,83,57,78,83,14,49,78,40,65,65,6,1,88,14,19,71,49,99,78,65,26,19,92,19,83,78,33,26,33,83,100,57,92,49,98,83,88,33,65,83,14,83,49,40,95,57,65,33,49,57,14,49,57,71,71,71,40,98,40,78,26,33,14,49,49,33,9,65,9,19,92,40,4,71,65,98,65,40,2, 
10,99,94,97,10,49,76,7,65,5,82,57,90,57,71,7,40,97,10,65,65,26,57,92,40,90,26,71,13,65,49,65,34,92,76,20,82,26,26,20,26,90,13,26,90,20,40,26,10,49,65,90,86,34,71,7,1,71,49,10,20,13,49,49,92,34,34,7,3,82,57,7,82,34,65,1,13,40,20,57,7,71,5,26,40,57,57,40,20,71,5,65,65,13,76,40,20,26,49,71, 
75,96,39,84,69,80,19,63,25,69,98,11,15,11,91,88,80,15,25,25,98,39,48,39,39,11,69,55,2,32,5,11,55,88,19,25,88,32,39,80,55,5,75,19,88,39,55,69,48,11,32,39,63,63,75,39,15,55,32,88,48,32,48,39,4,25,63,25,25,75,84,32,48,48,55,91,48,75,94,19,48,5,55,39,25,39,100,8,19,80,94,48,15,19,80,32,8,19,55,88, 
48,87,93,16,41,20,27,79,56,34,12,27,41,83,79,34,1,61,20,12,48,41,97,94,41,27,67,20,93,12,48,61,4,61,87,27,41,20,61,27,48,56,20,83,83,41,97,100,87,16,41,90,97,41,20,34,48,27,56,67,83,83,61,16,90,9,67,87,27,98,20,27,27,34,20,93,90,48,3,83,56,73,48,41,98,9,27,34,3,20,67,56,73,73,48,4,67,20,90,48, 
26,68,95,32,26,73,20,26,73,20,39,86,92,26,57,100,62,44,96,78,39,62,100,82,97,73,7,17,51,62,39,68,73,44,12,12,62,39,44,39,51,57,17,9,12,89,12,2,82,89,32,51,62,97,4,78,4,57,44,12,9,39,12,39,51,32,26,51,82,17,32,82,1,4,73,62,17,44,62,89,96,73,4,57,26,32,51,57,78,32,12,4,89,82,39,32,82,44,39,32, 
4,68,10,68,39,57,21,68,4,78,21,74,12,39,12,84,27,2,74,32,6,91,21,81,44,44,96,32,68,68,68,16,74,63,32,84,88,27,74,2,63,1,68,74,81,63,68,10,44,44,98,10,84,32,10,10,32,44,21,44,99,63,78,27,27,44,39,84,39,78,57,63,57,63,81,2,39,27,96,68,27,95,51,68,63,78,10,84,93,21,39,63,95,91,81,12,51,16,68,44, 
